Time,STATUS,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
0.064,12582912,-1757102,-2112104,3611073,-652834,-3784181,-1844556,-4558125,-8388608
0.068,12582912,-1843997,-1330212,3645552,-719298,-3828742,-2074341,-4707246,-8388608
0.072,12582912,-2052392,-1706344,3201414,-674868,-4521917,-2762692,-4757056,-8388608
0.076,12582912,-2052392,-1706344,3201414,-674868,-4521917,-2762692,-4757056,-8388608
0.08,12582912,-2052392,-1706344,3201414,-674868,-4521917,-2762692,-4757056,-8388608
0.084,12582912,-2053411,-1705917,3213758,-673931,-4524810,-2769942,-4758869,-8388608
0.088,12582912,-2054434,-1705266,3226989,-673060,-4528429,-2778711,-4760810,-8388608
0.092,12582912,-2055490,-1704599,3240020,-672224,-4531586,-2786880,-4762792,-8388608
0.096,12582912,-2056580,-1703936,3252257,-671313,-4533437,-2792906,-4764642,-8388608
0.1,12582912,-2057622,-1703356,3264128,-670314,-4535085,-2798710,-4766431,-8388608
0.104,12582912,-2058583,-1702699,3276285,-669355,-4537189,-2805557,-4768256,-8388608
0.108,12582912,-2059499,-1701631,3288667,-668482,-4539527,-2812832,-4770136,-8388608
0.112,12582912,-2060337,-1700344,3300936,-667596,-4541733,-2819837,-4772001,-8388608
0.116,12582912,-2061127,-1699161,3312372,-666546,-4542899,-2824877,-4773660,-8388608
0.12,12582912,-2061854,-1697866,3323079,-665338,-4543466,-2829046,-4775129,-8388608
0.124,12582912,-2062512,-1697280,3333750,-664129,-4544286,-2834022,-4776553,-8388608
0.128,12582912,-2063159,-1696568,3343248,-662973,-4543564,-2836414,-4777738,-8388608
0.132,12582912,-2063768,-1695572,3353191,-661799,-4544145,-2841312,-4779009,-8388608
0.136,12582912,-2064351,-1694489,3362924,-660524,-4544526,-2845430,-4780286,-8388608
0.14,12582912,-2064974,-1693896,3368920,-659307,-4540242,-2841074,-4781041,-8388608
0.144,12582912,-2065651,-1693723,3373028,-658204,-4535329,-2836349,-4781652,-8388608
0.148,12582912,-2066468,-1694123,3377895,-657237,-4533052,-2836297,-4782518,-8388608
0.152,12582912,-2067084,-1693660,3383296,-656199,-4531814,-2837711,-4783459,-8388608
0.156,12582912,-2067530,-1692494,3388639,-655069,-4530707,-2838923,-4784369,-8388608
0.16,12582912,-2067789,-1690186,3393682,-653804,-4529589,-2839950,-4785226,-8388608
0.164,12582912,-2068135,-1688477,3398538,-652633,-4528468,-2840799,-4786087,-8388608
0.168,12582912,-2068756,-1688485,3403237,-651654,-4527267,-2841596,-4786942,-8388608
0.172,12582912,-2069342,-1688129,3407757,-650689,-4526139,-2842485,-4787829,-8388608
0.176,12582912,-2069671,-1686682,3412203,-649632,-4525226,-2843457,-4788766,-8388608
0.18,12582912,-2069909,-1684761,3416677,-648507,-4524578,-2844476,-4789707,-8388608
0.184,12582912,-2070235,-1683151,3421081,-647470,-4523999,-2845401,-4790661,-8388608
0.188,12582912,-2070622,-1681986,3425319,-646596,-4523247,-2846212,-4791619,-8388608
0.192,12582912,-2070939,-1680715,3429359,-645714,-4522399,-2846879,-4792491,-8388608
0.196,12582912,-2071293,-1679411,3433268,-644720,-4521615,-2847527,-4793295,-8388608
0.2,12582912,-2071847,-1678592,3437166,-643671,-4520882,-2848120,-4794077,-8388608
0.204,12582912,-2072355,-1677509,3441044,-642674,-4520024,-2848600,-4794829,-8388608
0.208,12582912,-2072706,-1675997,3444729,-641784,-4519019,-2848947,-4795579,-8388608
0.212,12582912,-2073040,-1674408,3448284,-640929,-4518025,-2849274,-4796366,-8388608
0.216,12582912,-2073401,-1673233,3451751,-640026,-4517146,-2849622,-4797167,-8388608
0.22,12582912,-2073799,-1672419,3455111,-639039,-4516346,-2849945,-4797909,-8388608
0.224,12582912,-2074146,-1671291,3458311,-638016,-4516062,-2850096,-4798561,-8388608
0.228,12582912,-2074403,-1669731,3461447,-637097,-4516129,-2850090,-4799274,-8388608
0.232,12582912,-2074664,-1668287,3464404,-636257,-4516218,-2850041,-4800026,-8388608
0.236,12582912,-2074946,-1667050,3467201,-635370,-4516341,-2850042,-4800742,-8388608
0.24,12582912,-2075220,-1665847,3469993,-634369,-4516458,-2850175,-4801393,-8388608
0.244,12582912,-2075444,-1664492,3472679,-633378,-4516396,-2850057,-4801993,-8388608
0.248,12582912,-2075631,-1662902,3475229,-632486,-4516160,-2849733,-4802611,-8388608
0.252,12582912,-2075817,-1661347,3477608,-631594,-4515837,-2849399,-4803242,-8388608
0.256,12582912,-2076033,-1660011,3479949,-630652,-4515628,-2849151,-4803846,-8388608
0.26,12582912,-2076257,-1658797,3482293,-629649,-4515441,-2848900,-4804427,-8388608
0.264,12582912,-2076529,-1657826,3484553,-628692,-4515152,-2848503,-4804963,-8388608
0.268,12582912,-2076816,-1656865,3486676,-627800,-4514714,-2847927,-4805481,-8388608
0.272,12582912,-2077112,-1655930,3488649,-626915,-4514208,-2847319,-4805980,-8388608
0.276,12582912,-2077397,-1655009,3490554,-625967,-4513772,-2846791,-4806482,-8388608
0.28,12582912,-2077702,-1654040,3492452,-624934,-4513386,-2846332,-4806939,-8388608
0.284,12582912,-2112611,-1418448,1002271,-422866,-3568722,-800775,-4612294,-6365396
0.288,12582912,-2405176,-2601223,3438461,-606785,-4572742,-2342542,-4300743,-8388608
0.292,12582912,-2405176,-2601223,3438461,-606785,-4572742,-2342542,-4300743,-8388608
0.296,12582912,-2405176,-2601223,3438461,-606785,-4572742,-2342542,-4300743,-8388608
0.3,12582912,-3057997,-1748331,4347251,-187534,-4325729,-1818944,-4786751,-8388608
0.304,12582912,-3057997,-1748331,4347251,-187534,-4325729,-1818944,-4786751,-8388608
0.308,12582912,-3057997,-1748331,4347251,-187534,-4325729,-1818944,-4786751,-8388608
0.312,12582912,-2669189,-2844008,2517888,-431911,-4293914,-2061151,-4564479,-8388608
0.316,12582912,-2502135,-2156779,1847564,-392898,-4193081,-1702211,-5048090,-8216874
0.32,12582912,-2414380,-1429766,3580660,-140681,-3981424,-1404457,-5039922,-8388608
0.324,12582912,-2312876,-920589,4483256,-51271,-3731691,-1160462,-4925117,-8222034
0.328,12582912,-2495379,-1854775,4873430,128211,-3426764,-1037632,-4567727,-8173008
0.332,12582912,-2829294,-3855186,4643085,752643,-2908588,-401392,-3732082,-7800247
0.336,12582912,-2829294,-3855186,4643085,752643,-2908588,-401392,-3732082,-7800247
0.34,12582912,-2829294,-3855186,4643085,752643,-2908588,-401392,-3732082,-7800247
0.344,12582912,-2777666,-4193206,4622409,1126978,-2561417,-41116,-3339982,-7456491
0.348,12582912,-2777666,-4193206,4622409,1126978,-2561417,-41116,-3339982,-7456491
0.352,12582912,-2777666,-4193206,4622409,1126978,-2561417,-41116,-3339982,-7456491
0.356,12582912,-2777666,-4193206,4622409,1126978,-2561417,-41116,-3339982,-7456491
0.36,12582912,-2777666,-4193206,4622409,1126978,-2561417,-41116,-3339982,-7456491
0.364,12582912,-2767996,-4166785,4652753,1344221,-2360190,168098,-3147279,-7260529
0.368,12582912,-2815266,-3683651,4735760,1307394,-2358350,73688,-3582249,-7285111
0.372,12582912,-2815266,-3683651,4735760,1307394,-2358350,73688,-3582249,-7285111
0.376,12582912,-2815266,-3683651,4735760,1307394,-2358350,73688,-3582249,-7285111
0.38,12582912,-2815266,-3683651,4735760,1307394,-2358350,73688,-3582249,-7285111
0.384,12582912,-2815266,-3683651,4735760,1307394,-2358350,73688,-3582249,-7285111
0.388,12582912,-3035089,-3017467,3691803,982162,-1911395,951991,-3284979,-6243424
0.392,12582912,-2789156,-3624490,5217573,1038210,-2376322,336303,-2791053,-7389746
0.396,12582912,-2974186,-3717687,4028253,1201976,-2205336,459373,-3188886,-6698845
0.4,12582912,-3139206,-2039932,1064028,859409,-2941757,143466,-3589609,-6135963
0.404,12582912,-3139206,-2039932,1064028,859409,-2941757,143466,-3589609,-6135963
0.408,12582912,-3139206,-2039932,1064028,859409,-2941757,143466,-3589609,-6135963
0.412,12582912,-4831191,-3029682,4327353,932059,-2315475,-106562,-2876129,-6100688
0.416,12582912,-4831191,-3029682,4327353,932059,-2315475,-106562,-2876129,-6100688
0.42,12582912,-3747849,-3035211,5512375,1194110,-2267819,94079,-5528877,-6016682
0.424,12582912,-3747849,-3035211,5512375,1194110,-2267819,94079,-5528877,-6016682
0.428,12582912,-3747849,-3035211,5512375,1194110,-2267819,94079,-5528877,-6016682
0.432,12582912,-3858856,-2417957,6168514,1195068,-2218047,-142637,-4373332,-5991315
0.436,12582912,-4261706,-2033487,5454865,1168148,-2281901,-92589,-5699588,-5943994
0.44,12582912,-4454405,-1741427,6292100,1293149,-2283078,158838,-5452569,-5339867
0.444,12582912,-4454405,-1741427,6292100,1293149,-2283078,158838,-5452569,-5339867
0.448,12582912,-4454405,-1741427,6292100,1293149,-2283078,158838,-5452569,-5339867
